Topic,Count,Name,Representation,Representative_Docs
13,81,13_auto_hybrid_volkswagen_suv,"['auto', 'hybrid', 'volkswagen', 'suv', 'aston', 'diesel', 'truck', 'gefahren', 'antrieben', 'neues']","['Komplett neuer Opel Frontera Hybrid SUV ab 24 000 Euro', 'BMW X2 sDrive 18d neues Familien SUV mit viel Reichweite', 'BMW X2 sDrive 18d neues Familien SUV mit viel Reichweite']"
14,76,14_us_konzernbilanzen_zurueckgewiesen_rentenerhoehung,"['us', 'konzernbilanzen', 'zurueckgewiesen', 'rentenerhoehung', 'weiterhin', 'fed', 'mickriges', 'rente', 'rentenanhebung', 'freibetraege']","['Fed Entscheid loest Strohfeuer an US Boersen aus', 'US Boersen schwaecheln weiterhin', 'US Boersen schwaecheln weiterhin']"
15,71,15_china_chinas_chinesen_chinesische,"['china', 'chinas', 'chinesen', 'chinesische', 'chinesischer', 'taiwanstrasse', 'taiwans', 'taiwan', 'zhao', 'fremdenfeindlichkeit']","['Drei Deutsche wegen Spionage fuer China festgenommen', 'Rundgang auf Auto China 2024 in Peking Keine Angst vor der Auto Welle aus China', 'Scholz macht China Ansage ohne China zu nennen']"
16,65,16_afd_umstritten_nachwuchs_voreiligen,"['afd', 'umstritten', 'nachwuchs', 'voreiligen', 'vor', 'nsu', 'eingestuft', 'zurueckziehen', 'gericht', 'selbst']","['AfD Mann Krah kuendigt Mitarbeiter bleibt aber Spitzenkandidat', 'Jetzt rueckt AfD Spitzenkandidat Krah selbst in den Fokus', 'Jetzt rueckt AfD Spitzenkandidat Krah selbst in den Fokus']"
17,65,17_swifts_taylor_swift_beyonce,"['swifts', 'taylor', 'swift', 'beyonce', 'jodie', 'album', 'lisa', 'kate', 'komoedie', 'fans']","['Neues Album Taylor Swift Abrechnung mit einem Herzensbrecher', 'Neues Album Taylor Swift Abrechnung mit einem Herzensbrecher', 'Billie Eilish empoert Fans von Taylor Swift']"
18,65,18_trumps_trump_anwalt_argumente,"['trumps', 'trump', 'anwalt', 'argumente', 'rhetorik', 'staatsanwaeltin', 'powell', 'verteidiger', 'tyrann', 'huendin']","['Die zwoelf Geschworenen im Trump Prozess stehen fest', 'Trump Team nimmt Kronzeuge Cohen in die Mangel', 'Im Trump Prozess schlaegt die Stunde der Anwaelte']"
19,60,19_haftstrafe_verurteilt_geldstrafe_raeumungsklage,"['haftstrafe', 'verurteilt', 'geldstrafe', 'raeumungsklage', 'angeklagter', 'justizministerium', 'arrest', 'juristen', 'anwalt', 'anklage']","['Er wird bedroht weil er Hoecke vor Gericht brachte', 'Er wird bedroht weil er Hoecke vor Gericht brachte', 'Hoecke steht wegen SA Parole vor Gericht']"
20,54,20_jaehriger_jaeger_stirbt_raubmord,"['jaehriger', 'jaeger', 'stirbt', 'raubmord', 'verletzt', 'siebenjaehriger', 'zombie', 'wohnungsbrand', 'geschlagen', 'mitschueler']","['28 Jaehriger faehrt mit Auto gegen Baum und stirbt', 'Von Strassenbahn erfasst 19 Jaehriger stirbt bei Unfall', '80 Jaehriger faehrt gegen Baum und stirbt']"
21,53,21_jugendliche_schulbarometer_erzieherinnen_jungen,"['jugendliche', 'schulbarometer', 'erzieherinnen', 'jungen', 'lehrkraeftemangel', 'teenager', 'kinderschutzfaelle', 'schule', 'kindern', 'missbraucht']","['Schulbarometer zeichnet trauriges Bild', 'Fuenf Jugendliche sollen 16 Jaehrige missbraucht haben', 'Schulbarometer zeichnet trauriges Bild']"
22,47,22_cdu_merz_zum_csu,"['cdu', 'merz', 'zum', 'csu', 'vorsitz', 'weiblicher', 'parteichef', 'rar', 'launig', 'soeders']","['Unter Merz ist die CDU weiblicher geworden', 'Fuer die CDU und Merz laeuft es blendend', 'Fuer die CDU und Merz laeuft es blendend']"
23,46,23_kampfflugzeugen_aerospace_leichtpropellerflugzeug_kleinflugzeug,"['kampfflugzeugen', 'aerospace', 'leichtpropellerflugzeug', 'kleinflugzeug', 'schulflugzeug', 'luftwaffenpilot', 'testflug', 'cockpit', 'drohnenindustrie', 'flugzeugtraeger']","['USA pruefen Strafverfahren gegen Boeing', 'Boeing macht wegen Geruchsproblem ueber dem Atlantik kehrt', 'Boeing Maschine verliert Notrutsche waehrend Flug']"
24,44,24_stadion_stadionaerger_osnabrueck_duesseldorfer,"['stadion', 'stadionaerger', 'osnabrueck', 'duesseldorfer', 'saisonheimspiel', 'fc', 'schoenebergers', 'osnabruecks', 'osnabruecker', 'schwabl']","['Fussball Zweitligist VfL Osnabrueck in Not Stadion an der Bremer Bruecke gesperrt', 'Fussball Zweitligist VfL Osnabrueck in Not Stadion an der Bremer Bruecke gesperrt', 'Schalke kaempft gegen Absage des Osnabrueck Spiels Stadion Bremer Bruecke von Stadt gesperrt']"
25,43,25_strandaufspuelung_deniz_kreuzfahrtschiff_donaukreuzfahrtschiff,"['strandaufspuelung', 'deniz', 'kreuzfahrtschiff', 'donaukreuzfahrtschiff', 'kreuzfahrtschiffen', 'surfen', 'schiff', 'ostseekueste', 'aquaplanings', 'schwimmbaeder']","['Segler stuerzt auf Boot und muss an Land gebracht werden', 'Hawaii Sonne Surfen Sehnsucht in Schwarz Weiss', 'Hawaii Sonne Surfen Sehnsucht in Schwarz Weiss']"
26,43,26_googles_google_apps_amazon,"['googles', 'google', 'apps', 'amazon', 'intel', 'apple', 'amazons', 'cloud', 'automatisieren', 'ipad']","['Google KI soll Verhalten der Molekuele des Lebens vorhersagen', 'Google laesst seine KI Gemini auf eigene Apps zugreifen', 'Apple arbeitet offenbar an eigenen KI Prozessoren']"
27,41,27_bahnstillstand_nahverkehrszuegen_schienennahverkehr_bahnstrecke,"['bahnstillstand', 'nahverkehrszuegen', 'schienennahverkehr', 'bahnstrecke', 'autobahnen', 'bahn', 'autobahndreieck', 'bahnverkehr', 'bahnhoefen', 'verkehrswende']","['Baum faellt auf Oberleitung Zug evakuiert', 'Bis zu 450 km Stau auf NRW Autobahnen am Freitagnachmittag', 'Wenig Stau auf Autobahnen in NRW am Pfingstmontag']"
28,36,28_brutal_mordverdaechtigen_doppelmord_attackiert,"['brutal', 'mordverdaechtigen', 'doppelmord', 'attackiert', 'sterbebett', 'ermorden', 'angegriffen', 'starb', 'geschossen', 'ausgebranntem']","['Mann attackiert wahllos Passanten mit Messer', 'Mann pinkelt an Hauswand und wird mit Messer angegriffen', 'Mann mit Messer attackiert und schwer verletzt']"
29,35,29_harry_prinzen_royal_krone,"['harry', 'prinzen', 'royal', 'krone', 'ihm', 'harrys', 'london', 'erbarmen', 'seinen', 'daniel']","['Prinz Harry verlegt seinen Erstwohnsitz', 'Koenig Charles hat keine Zeit fuer Sohn Harry', 'Darf Prinz Harry den Koenig noch vertreten']"
30,35,30_klinikaufenthalt_kliniken_klinik_patienten,"['klinikaufenthalt', 'kliniken', 'klinik', 'patienten', 'mediziner', 'pflege', 'patientenschuetzer', 'pflegegeld', 'stuhlproben', 'klinikreform']","['Hier lernen Zuchthengste arbeiten', 'Patienten koennen ab sofort Klinik Atlas nutzen', 'Klinik Atlas bringt mehr Klarheit fuer Patienten']"
31,30,31_arbeitgeberpraesident_arbeitsweg_arbeitsunfall_arbeitszeiten,"['arbeitgeberpraesident', 'arbeitsweg', 'arbeitsunfall', 'arbeitszeiten', 'berufseinsteiger', 'arbeitsmarkt', 'arbeitsrechtliche', 'arbeitgeber', 'arbeitsvertrag', 'kurzarbeit']","['15 Euro Mindestlohn waeren genau richtig', 'Arbeitgeber schimpfen auf Scholz Mindestlohn Forderung', '2 5 Millionen Frauen arbeiten nur im Minijob']"
32,30,32_pinguins_pinguine_fischtown_hockeyliga,"['pinguins', 'pinguine', 'fischtown', 'hockeyliga', 'eishockey', 'ice', 'hockey', 'stuermer', 'eisbaeren', 'eisschmelze']","['Balsam fuer Bremerhaven Ganz Fischtown hofft weiter mit den Pinguins', 'Balsam fuer Bremerhaven Ganz Fischtown hofft weiter mit den Pinguins', 'DEL Eisbaeren Berlin besiegen Fischtown Pinguins und sind zum 10 Mal Meister']"
33,23,33_cybertruck_elektro_fabrik_viel,"['cybertruck', 'elektro', 'fabrik', 'viel', 'mindestens', 'muss', 'wird', 'weitere', 'hunderte', 'darf']","['Tesla will in Deutschland Hunderte Stellen streichen', 'Warum Tesla die Elektro Flaute so viel haerter trifft', 'Warum Tesla die Elektro Flaute so viel haerter trifft']"
34,22,34_rekordtorschuetze_rekordmeister_rekordhoch_rekordniveau,"['rekordtorschuetze', 'rekordmeister', 'rekordhoch', 'rekordniveau', 'rekordmodus', 'rekordumsatz', 'rekorddividende', 'rekord', 'weltrekord', 'olympiasiegerin']","['Skiverband verweigert monstroeser Flugshow den Weltrekord', 'Rekord Sieger startet Sensationscomeback auf Ski', 'Maertens fliegt nur 0 26 Sekunden am Weltrekord vorbei']"
35,22,35_immobilienkrise_immobilienfinanzierung_wohnungen_wohnhaus,"['immobilienkrise', 'immobilienfinanzierung', 'wohnungen', 'wohnhaus', 'sozialwohnungen', 'krise', 'mitbewohnern', 'wohnen', 'hausratversicherungen', 'preisverfall']","['Palmer schlaegt Sondervermoegen fuer sozialen Wohnungsbau vor', 'Krise beim Wohnungsbau haelt trotz hoher Nachfrage an', 'Wohnungsbau trotzt der Krise bald ist aber Schluss']"
36,22,36_tourismuszahlen_tourismusbranche_urlaub_tourismus,"['tourismuszahlen', 'tourismusbranche', 'urlaub', 'tourismus', 'massentourismus', 'kurzurlauber', 'luxusreisen', 'campingplatz', 'campingplaetze', 'camping']","['Das sind die beliebtesten Camping Anbieter', 'Gelingt Mallorca die Ausrottung des unzivilisierten Tourismus ', 'Feiertags Tourismus in MV floriert bei bestem Wetter']"
37,18,37_bergsteiger_kenianer_klippe_ruanda,"['bergsteiger', 'kenianer', 'klippe', 'ruanda', 'mount', 'angola', 'heldenratten', 'minenraeumung', 'thailand', 'guatemala']","['Zwei Maenner stuerzen am Mount Everest in Klippe', 'Kenianer verunglueckt am Mount Everest', 'Bergsteiger Dramen am Mount Everest und Mount Makalu']"
38,18,38_heiligsprechung_kirche_kirchenmitarbeiter_kirchengemeinde,"['heiligsprechung', 'kirche', 'kirchenmitarbeiter', 'kirchengemeinde', 'klosterhalfen', 'christian', 'priester', 'katholischen', 'christen', 'juedischen']","['Gott sei Dank Christen Bashing bleibt im Kalifat erlaubt', 'Groesstes Posaunenfest der Welt mit Gottesdienst eroeffnet', 'Groesstes Posaunenfest der Welt mit Gottesdienst eroeffnet']"
39,18,39_mueller_trennungsgeruechten_ueber_geheimnis,"['mueller', 'trennungsgeruechten', 'ueber', 'geheimnis', 'sagt', 'von', 'bohlen', 'halbnackte', 'verkuendet', 'konzert']","['Mueller Westernhagen erklaert Konzert Absage', 'Thomas Mueller aeussert sich zu Trennungsgeruechten', 'Thomas Mueller Wir koennen die EM gewinnen ']"
40,17,40_gestorben_stirbt_gitarrist_dickey,"['gestorben', 'stirbt', 'gitarrist', 'dickey', 'schauspieler', 'damon', 'musikproduzent', 'starb', 'legendaerer', 'star']","['US Schauspieler Dabney Coleman ist tot', 'Gitarrist Dickey Betts ist tot', 'Gitarrist Dickey Betts ist tot']"
41,16,41_reuss_reus_rehkitz_rewe,"['reuss', 'reus', 'rehkitz', 'rewe', 'verteidiger', 'reichsbuerger', 'reichsbuergern', 'reker', 'verurteilten', 'wieder']","['Prinz Reuss und seine Reichsbuerger alles Spinner', 'Was die Prozesse gegen die Reuss Gruppe so kompliziert macht', 'Was die Prozesse gegen die Reuss Gruppe so kompliziert macht']"
42,16,42_supermarkt_verbraucherpreise_rekordpreise_versteigert,"['supermarkt', 'verbraucherpreise', 'rekordpreise', 'versteigert', 'preisrueckgaengen', 'shoppt', 'rueckkaufprogramm', 'einzelhandel', 'kunden', 'tarifeinigung']","['US Supermarkt treibt Kunden in Goldrausch und Ernuechterung', 'Werden Rekordpreise im Supermarkt neue Normalitaet', 'Werden Rekordpreise im Supermarkt neue Normalitaet']"
43,15,43_wozniacki_zittert_gazprom_vor,"['wozniacki', 'zittert', 'gazprom', 'vor', 'jovi', 'zverev', 'siegt', 'des', 'gegen', 'french']","['Alexander Zverev zieht das Hammer Los Rafael Nadal', 'Zverev siegt sich in French Open Form', 'Zverev schmeisst French Open Rekordsieger Nadal raus']"
44,15,44_netflix_videospielfoerderung_videoportal_videospiel,"['netflix', 'videospielfoerderung', 'videoportal', 'videospiel', 'abonnenten', 'videospiele', 'video', 'passanten', 'verfilmung', 'kunden']","['Netflix droht Basis Abonnenten mit Kuendigung', 'Kunden von morgen auf Roblox Warum ein The Gang Videospiele fuer Luxuskonzerne entwickelt', 'Kunden von morgen auf Roblox Warum ein The Gang Videospiele fuer Luxuskonzerne entwickelt']"
45,15,45_deb_team_viertelfinale_frankreich,"['deb', 'team', 'viertelfinale', 'frankreich', 'verliert', 'halbfinale', 'deutsches', 'dezimiertes', 'sportlich', 'underdogs']","['DEB Team schmeisst 3 0 Fuehrung gegen Frankreich weg', 'DEB Team fertigt Slowakei ab und erhaelt bittere Nachricht', 'DEB Team fertigt Slowakei ab und erhaelt bittere Nachricht']"
46,14,46_2026_2035_2024_2023,"['2026', '2035', '2024', '2023', 'frist', 'april', '26', 'termine', 'dauern', 'wann']","['Termine bis 26 Mai 2024', 'Termine bis 17 Mai 2024', 'Termine bis 3 Mai 2024']"
47,14,47_fruchtsafts_limonade_wodka_tomaten,"['fruchtsafts', 'limonade', 'wodka', 'tomaten', 'erdbeerbauern', 'bier', 'fuerchten', 'gedeihen', 'mehreren', 'granini']","['Mit fast drei Promille am Steuer Wodka Nachschub geholt', 'Guenther Wir lassen den Obst und Weinbau nicht alleine', 'Guenther Situation im Obst und Weinbau katastrophal']"
48,14,48_dancen_tanzen_dance_tanzt,"['dancen', 'tanzen', 'dance', 'tanzt', 'finale', 'promi', 'aussteigen', 'schlagermove', 'wer', 'aufgedrueckt']","['Mark Keller muss bei Let s Dance aussteigen', 'Diese drei greifen nach der Let s Dance Krone', 'Wer gewinnt Let s Dance 2024']"
49,13,49_bakterien_faekalbakterien_bakterielle_infiziert,"['bakterien', 'faekalbakterien', 'bakterielle', 'infiziert', 'hochansteckenden', 'mikrobioms', 'infektion', 'norovirus', 'vogelgrippe', 'riesenvirus']","['Vogelgrippe Nachweis in Milch alarmiert WHO', 'Eingebaute Bakterien zersetzen Kunststoff von innen', 'Verdacht auf Norovirus bei Cannstatter Wasn Ausbruch in Festzelt Hunderte Betroffene']"
50,13,50_wall_street_zinshoffnungen_weiter,"['wall', 'street', 'zinshoffnungen', 'weiter', 'aufwind', 'wirtschaft', 'treiben', 'sorgen', 'wieder', 'baut']","['Wall Street auf dem Weg der Erholung', 'Zinshoffnungen stuetzen Wall Street', 'Stimmung an der Wall Street hebt sich wieder']"
51,13,51_popmusik_musikbranche_musical_musik,"['popmusik', 'musikbranche', 'musical', 'musik', 'pop', 'popstar', 'gitarre', 'piano', 'literatur', 'popp']","['Zerstoert Spotify die Popmusik', 'Pop Musical schreibt alte Literatur neu', 'Pop Musical schreibt alte Literatur neu']"
52,13,52_heiraten_heiratet_verlobt_ehepaar,"['heiraten', 'heiratet', 'verlobt', 'ehepaar', 'paar', 'scheidungskrieg', 'geschieden', 'hochzeitstag', 'beziehung', 'rekordverdaechtige']","['Ehepaar aus Rheinland Pfalz feiert 80 Hochzeitstag', 'Spanisches Koenigspaar feiert 20 Hochzeitstag', 'Thomas Gottschalk nach 48 Jahren Ehe geschieden']"
53,12,53_leibwaechter_anschlag_sicherheitsgruenden_als,"['leibwaechter', 'anschlag', 'sicherheitsgruenden', 'als', 'markeneintrag', 'ficos', 'zuversicht', 'angeschossener', 'fernzuege', 'flixtrain']","['Fico Attentaeter aeussert sich zum Motiv', 'Fico Attentaeter soll kein einsamer Wolf gewesen sein', 'Was ist ueber das Fico Attentat bekannt']"
54,12,54_solaranlage_balkonkraftwerk_balkonkraftwerken_solarpaket,"['solaranlage', 'balkonkraftwerk', 'balkonkraftwerken', 'solarpaket', 'balkon', 'energieversorger', 'sonnenstrahlen', 'feuer', 'stromausfaelle', 'gespiegelte']","['Gespiegelte Sonnenstrahlen entfachen wohl Feuer auf Balkon', 'In sieben Schritten zur eigenen Solaranlage', 'Mann will Solaranlage demontieren und erleidet Stromschlag']"
55,12,55_pistorius_wehrpflicht_bundeswehr_bundeswehretat,"['pistorius', 'wehrpflicht', 'bundeswehr', 'bundeswehretat', 'fighter', 'gueler', 'gruene', 'beim', 'zuspruch', 'notwendigkeit']","['Pistorius betont Notwendigkeit einer Art der Wehrpflicht', 'Serap Gueler bietet Pistorius Unterstuetzung bei Wehrpflicht an', 'Pistorius rueckt von Wehrpflicht Plaenen ab']"
56,11,56_coach_teamchefs_fussballtrainer_trainer,"['coach', 'teamchefs', 'fussballtrainer', 'trainer', 'bundestrainer', 'kapitaen', 'fussballer', 'spiel', 'selbst', 'fussball']","['HSV Trainer vor Stadtderby Es gibt kein geileres Spiel', 'Aggressions Eklat kostet Juve Trainer wohl den Job', 'Der Trainer der Fussball so ganz anders verstand']"
57,11,57_flughafen_passagiere_flugticketsteuer_terminal,"['flughafen', 'passagiere', 'flugticketsteuer', 'terminal', 'evakuiert', 'reisebus', 'betriebsstopp', 'intensivstation', 'sicherheitsvorfall', 'flugs']","['LNG Terminal Gemeinde will sofortigen Betriebsstopp', '20 Passagiere nach Turbulenzen Flug auf Intensivstation', 'Sicherheitsvorfall Terminal am Flughafen zeitweise geraeumt']"
58,11,58_gewerkschaftlich_union_gewerkschaften_unionslaender,"['gewerkschaftlich', 'union', 'gewerkschaften', 'unionslaender', 'koalition', 'mitgliedschaft', 'vollversammlung', 'einigen', 'organisieren', 'politik']","['Union fuehlt sich von Ampel Koalition duepiert', 'Union legt weiter zu Wuest und Soeder beliebter als Merz', 'Ampel und Union einigen sich auf Antrag fuer Veteranentag']"
